Query_ID,N_Value,M_Value,Iteration_Number,Success_Probability,Confidence_Threshold,Stopping_Iteration,Stopped
Q0100,500,4,2,0.1875,0.9,7,No
Q0100,500,4,3,0.3442,0.9,7,No
Q0100,500,4,4,0.5207,0.9,7,No
Q0100,500,4,5,0.6945,0.9,7,No
Q0100,500,4,6,0.8437,0.9,7,No
Q0100,500,4,7,0.9492,0.9,7,Yes
Q0101,500,2,1,0.0356,0.9,10,No
Q0101,500,2,2,0.0968,0.9,10,No
Q0101,500,2,3,0.1838,0.9,10,No
Q0101,500,2,4,0.2908,0.9,10,No
Q0101,500,2,5,0.4112,0.9,10,No
Q0101,500,2,6,0.5373,0.9,10,No
Q0101,500,2,7,0.661,0.9,10,No
Q0101,500,2,8,0.7744,0.9,10,No
Q0101,500,2,9,0.8704,0.9,10,No
Q0101,500,2,10,0.9427,0.9,10,Yes
Q0102,500,4,1,0.0705,0.9,7,No
Q0102,500,4,2,0.1875,0.9,7,No
Q0102,500,4,3,0.3442,0.9,7,No
Q0102,500,4,4,0.5207,0.9,7,No
Q0102,500,4,5,0.6945,0.9,7,No
Q0102,500,4,6,0.8437,0.9,7,No
Q0102,500,4,7,0.9492,0.9,7,Yes
